,Rendement,Volatility,Risk,Value-risk,Sharpe,skewness,Kurtosis,drawdown,volume
DH,-0.01745786014239433,77.75644171779155,396.85350668999456,70.01,59.72216558408603,-1.2274525690003475,0.7533445824991669,-0.9603502020068052,73.66257668711657
SIMP,-0.09848928788202324,38.166476923077056,259.55523978666315,29.8,29.314415683191644,-1.2274525690003475,0.7533445824991669,-0.9975795733295536,115.5
SOPAT,0.3072655323311516,41.279032258064696,-977.449372229414,32.5,31.70506706845466,-1.2274525690003475,0.7533445824991669,-0.9975795733295536,133.70967741935485
MPBS,0.11415914633054294,4.256196319018399,-173.11700770696197,2.63,3.2690444123632383,-1.2274525690003475,0.7533445824991669,-0.99457445381599,180.3220858895706
HANL,0.16482958214915788,28.99918461538465,-390.48988626915167,25.68,22.273319960926212,-1.2274525690003475,0.7533445824991669,-0.9708624073031318,315.5692307692308
SFBT,0.050457433863277286,125.628805513017,3072.041284194065,81.99,96.4913537608886,-1.2274525690003475,0.7533445824991669,-0.9975795733295536,423.39050535987747
SAMAA,-0.19991948336087173,14.40537519142417,349.90658545451066,9.7,11.06429491212518,-0.03291830719451388,-1.4636318974274236,-0.9975795733295536,436.9969372128637
SOKNA,-0.021001415916064147,5.749217791411072,85.99700766120779,4.24,4.415785101944294,1.1244271780917428,0.29678028292492176,-0.9975795733295536,513.9447852760736
CITY,0.03847650245956073,43.23669230769228,-265.52827439902563,41.0,33.20868136790451,1.1244271780917428,0.29678028292492176,-0.9603502020068052,518.92
AETEC,-0.16241344689511514,11.233782542113303,-77.32189571320278,8.44,8.628298907384218,1.1244271780917428,0.29678028292492176,-0.652965906576485,535.6171516079634
BS,-0.00376205951662414,34.81202143950985,-906.4365356960147,27.35,26.73796874955828,0.1263303194285468,-0.9558273349886809,-0.9603502020068052,664.6676875957121
SOMOC,-0.506454601022992,0.4884567901234966,12.398097585291627,0.22,0.37516759584113213,-0.5760396699044592,-0.8656129256740326,-0.9975795733295536,692.4783950617284
XABYT,-0.10862154911037583,34.2210872894335,683.2112644388283,24.94,26.28409166387269,-0.5760396699044592,-0.8656129256740326,-0.9975795733295536,697.5558958652374
UBCI,0.021333426163739767,26.26764705882348,-89.70750746356367,21.6,20.175315800136914,0.3880611172702586,-1.190662706923379,-0.9975795733295536,757.0758513931888
ATB,0.1930722930751101,6.324134762633991,-120.3281514068009,4.91,4.857359919334913,0.3880611172702586,-1.190662706923379,-0.8788898173053071,867.0490045941807
ICF,0.009805779963329113,0.4218711656441663,-9.246825742484274,0.28,0.32402536758556083,0.7233940134030213,-0.7573305264803345,-0.99457445381599,1090.398773006135
TVAL,0.42287603910742017,6.225131782945763,75.4223511832748,4.17,4.78131898670429,0.7233940134030213,-0.7573305264803345,-0.9975795733295536,1203.7751937984497
UMED,-0.2484026229118808,1.6805972434916008,14.555022532853911,1.02,1.2908114702604363,0.7233940134030213,-0.7573305264803345,-0.9975795733295536,1309.6278713629406
STPAP,0.037167633310085685,27.224241960183722,162.05987209572808,24.3,20.910044882818912,0.3636137530761824,-0.2267358682184879,-0.9975795733295536,1453.3277182235834
PLAST,0.0823880198252665,13.943736600306256,446.52442970708603,11.08,10.709725492927594,0.1512756871628659,-1.0852132934895111,-0.9975795733295536,1473.9234303215924
ADWYA,-0.0375826516417342,2.6660030627871327,-40.734253212380814,1.99,2.047669271458218,0.7639149560894126,-0.6455163006398403,-0.652965906576485,1519.2174578866766
SMD,0.39299149987679816,118.79052147239271,11959.915927421851,33.9,91.2390926907716,-1.3827294436961857,1.7203724747682958,-0.9975795733295536,1553.7699386503068
BTEI,-0.03370011759605615,11.623415007656947,64.86641429767536,10.42,8.927562789707792,-1.3827294436961857,1.7203724747682958,-0.9603502020068052,1591.5375191424193
CC,-0.0023412958811480557,4.9592496171516105,64.86318668553615,4.35,3.809036528231141,-0.2297612708517052,-0.6494899618368817,-0.9603502020068052,1702.2036753445636
WIFAK,0.02058671166997915,8.924401840490827,213.48181305585373,6.99,6.854539542731684,0.2455190289766629,-0.4880824713916478,-0.9975795733295536,1748.7960122699387
TJL,0.14422993386759442,2.159333333333356,-89.81967883329064,1.4,1.6585129159152654,0.2455190289766629,-0.4880824713916478,-0.9975795733295536,1759.784496124031
STVR,0.00156851010332355,15.767488514548248,-64.55931602530406,14.19,12.11048935763684,0.2455190289766629,-0.4880824713916478,-0.9975795733295536,1868.8820826952526
MNP,-0.0757684122330127,123.17320061255757,1921.6182571199563,97.5,94.60528439821644,0.9995294651341984,0.3525351937152785,-0.99457445381599,2133.459418070444
TINV,-0.10817763168441506,2.6211026033690867,33.87802843419523,2.25,2.013182705291781,-0.41012962373905615,-0.7132896557282341,-0.9975795733295536,2134.5359877488518
AB,-0.036787850795285335,7.682251148545178,5.905162039591541,7.11,5.900484448826977,0.16149859381687467,-0.6895182055258027,0.0,2178.6248085758043
POULA,-0.03335913396745748,12.10493108728943,294.27573925508216,8.3,9.297399454090947,0.5749922203138785,-1.016659866902652,-0.9975795733295536,2380.7963246554364
SIPHA,-0.004846680871473082,8.06591117917307,50.38211238941507,7.27,6.195161100316683,0.29405843073703997,-0.7671253444714763,-0.9975795733295536,2401.0459418070445
STB,-0.22254516761961107,5.320535987748873,27.107337993382398,3.4,4.08652870728934,0.6819368829560681,-0.5599759071289565,-0.9975795733295536,2473.5436447166917
BIAT,-0.2099442722418621,0.782863705972435,21.01276965819223,0.43,0.6012918652778202,0.12431076206803775,-1.011418883548996,-0.9603502020068052,2496.415007656968
OTH,-0.0013422453985537687,1.8508742331288317,3.391762415315459,1.75,1.4215956258315512,0.5520189204709692,-0.9369379259963444,-0.9975795733295536,2683.6656441717787
TLNET,-0.2941878540980222,2.2289263803681165,-27.56656034339768,1.58,1.7119650465258156,0.5520189204709692,-0.9369379259963444,-0.9975795733295536,2755.098159509202
SMG,-0.12767433280320895,1.555313935681497,-8.631726092017121,0.86,1.1945854819222228,0.5520189204709692,-0.9369379259963444,-0.9975795733295536,2873.2251148545174
BL,-0.18221533021271474,8.641163859111794,-27.124472403827767,6.5,6.636993764530917,0.9024074333008472,-0.4660810132389242,-0.9603502020068052,3142.08269525268
CREAL,0.02641600111296032,1.9695099540581964,-43.99124656157563,1.5,1.51271582131639,-0.2144959049344672,-1.1385179174708655,-0.9603502020068052,3203.640122511485
TLS,0.2520613116846956,5.1495712098009525,-83.62835191686659,4.4,3.955216284137189,0.7753604722024091,-0.4709701590470861,-0.9975795733295536,3883.7381316998467
STPIL,0.1672906994923315,3.634150076569696,58.02065502105321,2.5,2.7912711517591484,-0.7852290240889097,-0.5576380819877418,-0.9975795733295536,4688.546707503829
SIAM,-0.002668346399760425,8.16059724349158,244.25422961694184,5.99,6.267886352229043,-0.2966699636034944,-0.6253586849025714,-0.9975795733295536,5001.445635528331
CELL,-0.06962060608726657,38.00332312404291,893.261593653905,28.25,29.189102616051127,0.4202640096385832,-1.01446907533471,-0.9603502020068052,5361.424196018376
AMS,0.4513439447797869,2.4833537519142386,-183.64190313488857,1.36,1.9073823428541499,1.0092511236211354,-0.2172260776798498,-0.8788898173053071,5382.592649310873
MGR,-0.3014903925935245,14.052496171516072,271.7687621245925,8.51,10.793260142625446,0.5716473613336102,-1.034502359716001,-0.99457445381599,5508.427258805513
ECYCL,-0.33787345674355623,2.2656355283307756,51.47679573083403,1.42,1.7401601357640184,0.25846742245773896,-1.5517682411531426,-0.9708624073031318,5584.960183767228
ATL,-0.12673169719322422,5.847090352220522,113.3723939739081,4.4,4.490957797012012,-0.2169533473881208,-0.9489534037914058,-0.8788898173053071,5911.2021439509945
LSTR,-0.15514555137771335,7.249616564417166,147.71158858616116,5.49,5.5681920534975875,0.4716329435259118,-1.3689303724462547,-0.99457445381599,6307.039877300614
PLTU,-0.019029796953020373,13.629831546707488,-39.542834764492014,10.3,10.468625345151446,0.4716329435259118,-1.3689303724462547,-0.9975795733295536,6726.361408882082
NAKL,0.031829162195774884,17.02820512820504,-99.74095104387108,15.5,13.078804325401018,-0.8954297741048044,0.2684977891245999,-0.99457445381599,6899.380341880342
BNA,0.0005445176299421732,14.478928024502293,428.34810383467607,10.2,11.12078842416388,-0.8954297741048044,0.2684977891245999,-0.9603502020068052,7160.088820826953
SCB,-0.08882230395728469,23.411271056661572,598.9934320451893,16.88,17.981427335041566,0.5457491174552721,0.3794360316127561,-0.9975795733295536,7810.401225114853
UADH,-0.3619221446173471,0.9239816232772052,24.8027369522934,0.46,0.7096798963909663,0.3153354348551294,-1.2441372669103379,-0.9975795733295536,8688.955589586523
GIF,0.09966387333068367,9.343174846625754,5.6919108266293525,8.05,7.176185315892299,0.1983679952661143,-1.518370769242266,-0.9708624073031318,8760.963190184051
SAH,0.17701796123723165,3.8285758039816233,17.832126353377316,2.67,2.940603158597185,0.1983679952661143,-1.518370769242266,-0.9975795733295536,8863.546707503829
BHASS,0.01615714279162011,19.744456355283308,-414.70344553428237,13.97,15.16506755926023,0.6723345243603802,-0.7194626384352332,-0.8788898173053071,9555.384379785604
SPDI,0.06470849272095189,12.090260336906589,49.281895542394025,10.2,9.286131333222093,0.0878243045203495,0.6702614301968829,-0.9975795733295536,10322.349157733537
SERVI,0.15442127841441491,2.8533690658499324,-61.58493815253304,2.27,2.1915789362080176,0.7372635553262551,-0.6267465423642147,-0.9975795733295536,10352.722817764165
ARTES,-0.14930477185673235,4.2127411944869895,129.67002017596636,2.53,3.235667960388223,-0.2146293285878881,-1.334794071392801,-0.8788898173053071,11468.929555895867
MIP,0.19675145023934715,7.960321592649299,297.366915128982,5.5,6.114061211599895,-0.4683512248398811,-0.9336548264201064,-0.99457445381599,11536.885145482387
SOTE,0.2507264146534807,4.74477794793264,141.10706501204118,2.75,3.644307892773775,0.132994089527987,-1.0748594225910313,-0.9975795733295536,13328.957120980092
STAR,0.03633113731225343,4.520505359877516,135.21981651868558,3.53,3.4720514938967293,-0.555750189159374,-0.9470707712334678,-0.9975795733295536,13620.2404287902
TRE,0.22275878878834804,2.46082695252682,-52.651821294101666,1.99,1.890080249119216,1.0324984710043152,0.0005651495919836157,-0.9975795733295536,14950.805513016843
SITS,-0.1446101470473438,1.4244716692190114,31.78843051894668,0.59,1.0940898402694077,0.16109828691002884,-0.7474046864790607,-0.9975795733295536,15343.122511485451
TPR,-0.04990635348670115,3.9413169984686274,24.697596008847185,3.04,3.027195962184269,0.03943847464271431,0.9605073852865686,-0.9975795733295536,15413.39663093415
CIL,0.0227138193431029,4.055834609494639,21.439107019395138,3.5,3.115153172891169,0.8704992331380281,-0.029272684775468964,-0.9603502020068052,15837.534456355283
